qid,crop,gross_residue_yield (bdt/acre),required_residue_per_acre (bdt/acre),acres,quant_38 (bdt),quant_70 (bdt)
S08003,barley,4.72607629351265,4.72607629351265,9214.54545454545,0,0
S08013,barley,2.9547055174236,2.9547055174236,2104.24242424242,0,0
S08021,barley,4.62804970944341,4.62804970944341,5930.90909090909,0,0
S08023,barley,4.77831109110047,4.77831109110047,5396.36363636364,0,0
S08029,barley,2.61056064146299,2.61056064146299,203.636363636364,0,0
S08045,barley,0.69614950439013,0.69614950439013,101.818181818182,0,0
S08069,barley,2.83511130476932,2.83511130476932,2087.27272727273,0,0
S08081,barley,0.80057193004865,0.80057193004865,712.727272727273,0,0
S08085,barley,3.13267276975559,3.13267276975559,509.090909090909,0,0
S08087,barley,1.91441113707286,1.91441113707286,610.909090909091,0,0
S08105,barley,5.2016816363883,5.2016816363883,13490.9090909091,0,0
S08109,barley,4.99518347502794,4.99518347502794,11403.6363636364,0,0
S08123,barley,2.99339479225434,2.99339479225434,9214.54545454545,0,0
S10001,barley,2.77087798651191,0.042307986511906,11641.2121212121,12257.4237931332,22579.4648820876
S10003,barley,3.12130232785055,0.21618232785055,1018.18181818182,1207.66024612109,2224.63729548621
S10005,barley,2.71765959860951,0.027019598609512,9401.21212121212,9708.73185671496,17884.5060518434
S16001,barley,3.88973535577986,3.37981435577986,814.545454545454,415.353832727273,415.353832727273
S16005,barley,2.03124049389851,2.03124049389851,5727.27272727273,0,0
S16007,barley,1.78116994590509,1.78116994590509,5829.09090909091,0,0
S16009,barley,2.18401550763336,0.85705550763336,3461.81818181818,2873.05254560526,4593.69425454545
S16011,barley,3.51002614263678,3.51002614263678,17130.9090909091,0,0
S16013,barley,3.70183139059604,0.37492139059604,10996.3636363636,15468.5399547699,28494.6788640498
S16019,barley,3.41045496697356,3.41045496697356,62109.0909090909,0,0
S16021,barley,2.67632992730114,1.42418992730114,3156.36363636364,3210.03877534912,3952.20916363636
S16023,barley,3.2372995445837,0.2167095445837,13007.2727272727,16001.2064689849,29475.9066533932
S16025,barley,0.97065450159233,0.16519450159233,13643.6363636364,5032.43768069191,9270.27993811668
S16027,barley,3.30640747215557,2.80401647215557,1561.21212121212,784.338918787879,784.338918787879
S16029,barley,1.93846075790458,1.93846075790458,49127.2727272727,0,0
S16031,barley,4.15232984862543,4.14994480862543,31589.0909090909,75.3412453818182,75.3412453818182
S16033,barley,2.98866537227881,0.15993537227881,2596.36363636364,2948.67159566068,5431.76346569073
S16035,barley,1.33428655008109,0.84954655008109,1221.81818181818,592.264145454545,592.264145454545
S16037,barley,3.06379060826857,0.25267060826857,1289.69696969697,1501.5173560426,2765.95302428901
S16039,barley,3.32643438181085,1.52961438181085,916.363636363636,1158.32493237166,1646.54050909091
S16041,barley,2.41394303144101,2.36102063144101,4963.63636363636,262.687549090909,262.687549090909
S16043,barley,2.48962586962908,2.48962586962908,55363.6363636364,0,0
S16045,barley,3.19614522456764,1.48881522456764,865.454545454545,1051.12499676326,1477.61650909091
S16047,barley,4.13823250656993,3.62330850656993,1883.63636363636,969.929570909091,969.929570909091
S16049,barley,1.76698418168574,1.76698418168574,12549.0909090909,0,0
S16051,barley,3.52947798725797,3.52947798725797,47981.8181818182,0,0
S16053,barley,4.32969926422293,3.81704526422293,17181.8181818182,8808.32781818182,8808.32781818182
S16055,barley,2.06547557952552,1.22518257952552,763.636363636364,599.36345907686,641.678290909091
S16057,barley,2.17115997483355,1.21747297483355,11149.0909090909,9198.45477628754,10632.7430618182
S16059,barley,2.44357883466671,0.13792883466671,941.818181818182,874.534650574174,1610.98488263664
S16061,barley,1.87201287912187,1.40274687912187,13516.3636363636,6342.76989818182,6342.76989818182
S16063,barley,4.29006594577242,3.77302394577242,3970.90909090909,2053.12677818182,2053.12677818182
S16065,barley,2.97061920532425,2.97061920532425,39887.2727272727,0,0
S16067,barley,4.08781302132884,4.08781302132884,32174.5454545454,0,0
S16069,barley,2.06064568275746,1.04320568275746,12320,9647.11882839732,12534.8608
S16071,barley,1.91783435157792,1.83497945157792,3080,255.193092,255.193092
S16073,barley,3.34872337910053,3.09334737910053,1450.90909090909,370.52736,370.52736
S16075,barley,3.36588285372629,3.36588285372629,305.454545454545,0,0
S16077,barley,3.4494207942531,3.4494207942531,2800,0,0
S16081,barley,2.12044387458165,2.12044387458165,32200,0,0
S16083,barley,4.24005850417924,3.98225050417924,22323.6363636364,5755.21204363636,5755.21204363636
S16087,barley,2.16406649194437,0.86773649194437,1756.36363636364,1444.33732338716,2276.82687272727
S21047,barley,3.1674802449751,3.1674802449751,610.909090909091,0,0
S21141,barley,3.17428300886165,3.17428300886165,3125.81818181818,0,0
S21213,barley,2.85279877175864,2.85279877175864,2589.57575757576,0,0
S21219,barley,3.44594004673115,3.44594004673115,1506.90909090909,0,0
S21227,barley,3.41113257151165,3.41113257151165,1018.18181818182,0,0
S24005,barley,2.67489001233164,2.67489001233164,2061.81818181818,0,0
S24011,barley,2.91986010385722,2.91986010385722,7458.18181818182,0,0
S24013,barley,2.90039088512409,2.90039088512409,3818.18181818182,0,0
S24015,barley,2.90488855692206,2.90488855692206,1730.90909090909,0,0
S24019,barley,2.4157083951842,2.4157083951842,2545.45454545454,0,0
S24021,barley,2.74353940393425,2.74353940393425,3741.81818181818,0,0
S24025,barley,2.48873447819472,2.48873447819472,967.272727272727,0,0
S24027,barley,3.15944775069368,3.15944775069368,441.212121212121,0,0
S24029,barley,3.03092602076361,3.03092602076361,3741.81818181818,0,0
S24031,barley,3.13267276975559,3.13267276975559,339.393939393939,0,0
S24035,barley,2.97549256760734,2.97549256760734,3080,0,0
S24037,barley,2.60632729988224,2.60632729988224,941.818181818182,0,0
S24039,barley,2.68017559190201,2.68017559190201,509.090909090909,0,0
S24041,barley,2.97756577491779,2.97756577491779,1450.90909090909,0,0
S24043,barley,2.99566247599301,2.99566247599301,1756.36363636364,0,0
S24045,barley,2.33210083970694,2.33210083970694,576.969696969697,0,0
S24047,barley,2.96675713787594,2.96675713787594,916.363636363636,0,0
S26003,barley,1.53152890965829,1.53152890965829,458.181818181818,0,0
S26007,barley,1.67075881053632,1.67075881053632,509.090909090909,0,0
S26033,barley,1.49672143443878,1.49672143443878,712.727272727273,0,0
S26041,barley,1.69211794305738,1.69211794305738,1493.33333333333,0,0
S26063,barley,2.54094569102398,2.54094569102398,560,0,0
S26069,barley,1.39229900878026,1.39229900878026,560,0,0
S26109,barley,1.5492738970251,1.5492738970251,1730.90909090909,0,0
S26141,barley,1.25306910790224,1.25306910790224,458.181818181818,0,0
S27005,barley,1.75971124720839,1.75971124720839,610.909090909091,0,0
S27007,barley,1.57713870477351,0.93335170477351,984.242424242424,589.868992418076,633.642477575758
S27027,barley,1.79023311737084,1.79023311737084,1883.63636363636,0,0
S27041,barley,1.92311300587774,1.92311300587774,814.545454545454,0,0
S27045,barley,1.98402608751188,1.98402608751188,305.454545454545,0,0
S27049,barley,2.04203854621105,2.04203854621105,763.636363636364,0,0
S27069,barley,2.02805283995168,0.48434283995168,4709.09090909091,3629.10837287354,6685.19963424073
S27085,barley,2.0884485131704,2.0884485131704,305.454545454545,0,0
S27089,barley,2.19993077991784,0.70470077991784,25225.4545454545,21087.8164789462,37717.8564
S27093,barley,1.94921861229237,1.94921861229237,610.909090909091,0,0
S27097,barley,1.57959637543761,1.57959637543761,1069.09090909091,0,0
S27107,barley,2.10967258342619,2.10967258342619,5218.18181818182,0,0
S27109,barley,1.94921861229237,1.94921861229237,407.272727272727,0,0
S27111,barley,2.01146256797902,2.01146256797902,2163.63636363636,0,0
S27113,barley,2.01508933232928,0.90871933232928,6389.09090909091,4892.34379499262,7068.69850909091
S27115,barley,1.57130888133773,1.57130888133773,356.363636363636,0,0
S27117,barley,2.46025563483331,2.46025563483331,1120,0,0
S27119,barley,2.36637005500037,0.94027005500037,9876.36363636364,8881.02984132649,14084.6821818182
S27125,barley,1.98662366028945,1.00458766028945,2273.93939393939,1716.63548478442,2233.09034666667
S27135,barley,2.00488023933184,0.81626023933184,11683.6363636364,8901.23083421752,13887.4038545455
S27145,barley,2.272172875296,2.272172875296,5396.36363636364,0,0
S27153,barley,1.82264597513053,1.82264597513053,1866.66666666667,0,0
S27157,barley,2.30889585622727,2.30889585622727,840,0,0
S27167,barley,2.01980043704304,2.01980043704304,1221.81818181818,0,0
S27169,barley,2.43420276701749,2.43420276701749,763.636363636364,0,0
S27171,barley,1.49672143443878,1.49672143443878,407.272727272727,0,0
S30001,barley,3.11309356494462,0.37026356494462,4072.72727272727,4817.93680451066,8875.14674515121
S30003,barley,2.53881696939899,0.28015696939899,15400,14857.1569049229,27368.4469301211
S30005,barley,1.40988530307823,0.48784130307823,14560,7800.61340487124,13424.96064
S30007,barley,2.48525373067277,0.26577373067277,4836.36363636364,4567.44449266188,8413.713539114
S30009,barley,3.54559716328224,0.50605716328224,8552.72727272727,11523.3197114732,21227.1678895559
S30011,barley,0.95956903907603,0.95956903907603,2061.81818181818,0,0
S30013,barley,1.81972047549801,1.81972047549801,29680,0,0
S30015,barley,1.28354029833009,0.42694629833009,37800,18436.7728452134,32379.2532
S30017,barley,2.20136056693123,2.20136056693123,2087.27272727273,0,0
S30019,barley,0.97875305319613,0.28125705319613,1425.45454545455,530.163835651254,976.617591989152
S30021,barley,1.36763110242905,1.36763110242905,11709.0909090909,0,0
S30023,barley,2.33210083970694,0.24906083970694,305.454545454545,270.693304739802,498.645561362793
S30025,barley,0.92995065869474,0.92995065869474,2698.18181818182,0,0
S30027,barley,1.14263282526862,0.35947582526862,24309.0909090909,10555.0187855632,19037.8347090909
S30029,barley,2.2491913674827,1.1363413674827,7330.90909090909,6265.67462836781,8158.20218181818
S30031,barley,2.08726066758379,0.15307066758379,24614.5454545455,19523.249579536,35963.8808044083
S30033,barley,1.20452183983293,1.20452183983293,5158.78787878788,0,0
S30035,barley,1.4667758414279,1.4667758414279,98407.2727272727,0,0
S30037,barley,1.03237490331898,0.34148190331898,4785.45454545454,1877.34560600639,3306.23704727273
S30039,barley,2.0884485131704,0.1300985131704,712.727272727273,565.62780094884,1041.94594911628
S30041,barley,1.37475993884073,1.37475993884073,16367.2727272727,0,0
S30045,barley,1.17024300135738,0.02345300135738,14687.2727272727,6531.31768488485,12031.3746826826
S30047,barley,2.34997494860344,0.21940494860344,1883.63636363636,1682.0693413931,3098.54878677676
S30049,barley,2.63443435645505,0.29817435645505,8832.72727272727,8842.31127161868,16288.4681319292
S30051,barley,1.00221523476855,1.00221523476855,22145.4545454545,0,0
S30055,barley,1.12277626147246,1.12277626147246,11301.8181818182,0,0
S30057,barley,2.64776863221488,0.26867863221488,2952.72727272727,2970.89268784081,5472.69705654887
S30059,barley,1.44645669226325,1.44645669226325,7738.18181818182,0,0
S30063,barley,2.61056064146299,0.29398064146299,407.272727272727,404.0198578206,744.247106511632
S30065,barley,0.97302714818166,0.32946814818166,2240,828.24070853223,1441.57216
S30067,barley,2.06534620660878,2.06534620660878,2876.36363636364,0,0
S30069,barley,1.39229900878026,0.51255000878026,305.454545454545,161.60794312824,268.723330909091
S30071,barley,1.12646169803788,0.35456269803788,11581.8181818182,4957.66033867361,8939.99387272727
S30073,barley,2.01315898161845,2.01315898161845,87436.3636363636,0,0
S30075,barley,1.2378408374937,1.2378408374937,1629.09090909091,0,0
S30077,barley,2.39347191443607,0.26383191443607,967.272727272727,879.753240404357,1620.59807442908
S30079,barley,1.47956281989396,1.47956281989396,2409.69696969697,0,0
S30081,barley,2.59122315522994,0.29947315522993,916.363636363636,902.31101579934,1662.15187120931
S30083,barley,1.98841278301899,1.06666978301899,27872.7272727273,21060.5451385433,25691.4912545454
S30085,barley,1.63660499682328,1.63660499682328,5421.81818181818,0,0
S30087,barley,2.68393856219601,2.68393856219601,2511.51515151515,0,0
S30089,barley,2.09715038197527,2.09715038197527,203.636363636364,0,0
S30091,barley,1.40041092037803,1.40041092037803,6007.27272727273,0,0
S30095,barley,1.00673928327188,0,6287.27272727273,2405.26488689197,4430.75110743258
S30097,barley,1.40970274639002,1.40970274639002,678.787878787879,0,0
S30099,barley,2.40049017482132,0.95495017482132,72290.9090909091,65942.7744606189,104499.400727273
S30101,barley,1.42305634447812,0.093086344478124,52283.6363636364,28272.9729670708,52081.7923077619
S30103,barley,3.42505556159945,2.08191556159945,3393.93939393939,4417.28377883856,4558.53575757576
S30105,barley,1.06310103781709,0.018191037817093,8120,3280.30456228842,6042.66629895236
S30107,barley,1.01460658486886,1.01460658486886,9901.81818181818,0,0
S30109,barley,1.10874543016282,1.10874543016282,2087.27272727273,0,0
S30111,barley,2.85043058761118,2.85043058761118,18505.4545454545,0,0
S32013,barley,3.56596582335014,3.56596582335014,984.242424242424,0,0
S34015,barley,2.03623730034114,2.03623730034114,509.090909090909,0,0
S34033,barley,2.43230417746007,2.43230417746007,1120,0,0
S37001,barley,3.1674802449751,3.1674802449751,224,0,0
S37003,barley,2.80635268957272,2.80635268957272,407.272727272727,0,0
S37025,barley,2.06387853066251,2.06387853066251,432.727272727273,0,0
S37035,barley,2.38029580539549,2.38029580539549,441.212121212121,0,0
S37045,barley,2.79192590708042,2.79192590708042,483.636363636364,0,0
S37057,barley,2.19287093882892,2.19287093882892,441.212121212121,0,0
S37059,barley,2.22767841404842,2.22767841404842,254.545454545455,0,0
S37071,barley,2.43652326536546,2.43652326536546,203.636363636364,0,0
S37081,barley,2.31594022621217,2.31594022621217,950.30303030303,0,0
S37097,barley,2.59315690385324,2.59315690385324,1527.27272727273,0,0
S37101,barley,2.95863539365806,2.95863539365806,203.636363636364,0,0
S37109,barley,2.02181706060734,2.02181706060734,593.939393939394,0,0
S37135,barley,3.13267276975559,3.13267276975559,305.454545454545,0,0
S37151,barley,2.42347046215815,2.42347046215815,407.272727272727,0,0
S37157,barley,2.92382791843855,2.92382791843855,254.545454545455,0,0
S37159,barley,2.80275843941418,2.80275843941418,1561.21212121212,0,0
S37167,barley,2.35820644612157,2.35820644612157,610.909090909091,0,0
S37171,barley,2.78957051402046,2.78957051402046,1544.24242424242,0,0
S37179,barley,2.50613821580447,2.50613821580447,254.545454545455,0,0
S37185,barley,2.88902044321905,2.88902044321905,244.363636363636,0,0
S37193,barley,2.57575316624349,2.57575316624349,509.090909090909,0,0
S37197,barley,2.30543979485796,2.30543979485796,1595.15151515152,0,0
S38001,barley,1.50188641463265,1.50188641463265,6312.72727272727,0,0
S38003,barley,2.26867957235846,2.26867957235846,10385.4545454545,0,0
S38005,barley,2.04167170272222,2.04167170272222,51927.2727272727,0,0
S38007,barley,1.52568469159674,1.52568469159674,2749.09090909091,0,0
S38009,barley,2.09216845444729,2.09216845444729,138905.454545455,0,0
S38011,barley,1.46321744903202,1.46321744903202,18556.3636363636,0,0
S38013,barley,1.90638987022191,1.90638987022191,27923.6363636364,0,0
S38015,barley,1.86937464388736,1.86937464388736,15374.5454545455,0,0
S38017,barley,2.21849879558367,2.21849879558367,5192.72727272727,0,0
S38019,barley,2.2191581032221,2.2191581032221,58316.3636363636,0,0
S38021,barley,1.70727253454109,1.70727253454109,2596.36363636364,0,0
S38023,barley,1.69844181256708,1.69844181256708,7610.90909090909,0,0
S38025,barley,1.61272554019276,1.61272554019276,11352.7272727273,0,0
S38027,barley,2.23899893825644,2.23899893825644,21890.9090909091,0,0
S38029,barley,2.0298225195677,2.0298225195677,19447.2727272727,0,0
S38031,barley,2.29228084443395,2.29228084443395,29094.5454545454,0,0
S38033,barley,1.72154417498309,1.72154417498309,2816.9696969697,0,0
S38035,barley,2.01114834790569,2.01114834790569,15425.4545454545,0,0
S38037,barley,1.64987432540461,1.64987432540461,13541.8181818182,0,0
S38039,barley,2.19172073510233,2.19172073510233,17640,0,0
S38041,barley,1.76426387675655,1.76426387675655,8578.18181818182,0,0
S38043,barley,1.71195165707195,1.71195165707195,9842.42424242424,0,0
S38045,barley,2.08758748615181,2.08758748615181,6448.48484848485,0,0
S38047,barley,1.67259169585934,1.67259169585934,15323.6363636364,0,0
S38049,barley,1.92644099038244,1.92644099038244,47269.0909090909,0,0
S38051,barley,1.79590670240422,1.79590670240422,10029.0909090909,0,0
S38053,barley,1.51809818564542,1.51809818564542,22858.1818181818,0,0
S38055,barley,1.84913660871156,1.84913660871156,37927.2727272727,0,0
S38057,barley,1.78402666694526,1.78402666694526,17589.0909090909,0,0
S38059,barley,1.67622995734547,1.67622995734547,27109.0909090909,0,0
S38061,barley,1.84991238793243,1.84991238793243,40956.3636363636,0,0
S38063,barley,2.02886191524102,2.02886191524102,26116.3636363636,0,0
S38065,barley,1.67591344563062,1.67591344563062,11327.2727272727,0,0
S38067,barley,1.99909996992548,1.99909996992548,12625.4545454545,0,0
S38069,barley,1.95895369216434,1.95895369216434,30570.9090909091,0,0
S38071,barley,2.19874411389291,2.19874411389291,66105.4545454546,0,0
S38073,barley,1.53500965718024,1.53500965718024,1730.90909090909,0,0
S38075,barley,2.15978298069415,2.15978298069415,95581.8181818182,0,0
S38077,barley,1.3052803207315,1.3052803207315,814.545454545454,0,0
S38079,barley,2.13588044654503,2.13588044654503,31181.8181818182,0,0
S38083,barley,1.88405058050564,1.88405058050564,28000,0,0
S38085,barley,1.54545189974609,1.54545189974609,916.363636363636,0,0
S38087,barley,1.26700564175472,1.26700564175472,8722.42424242424,0,0
S38089,barley,1.71373398043604,1.71373398043604,10283.6363636364,0,0
S38091,barley,2.36476840010751,2.36476840010751,6541.81818181818,0,0
S38093,barley,2.07102358840181,2.07102358840181,29272.7272727273,0,0
S38095,barley,2.19411141799897,2.19411141799897,38283.6363636364,0,0
S38097,barley,2.40885024158846,2.40885024158846,8196.36363636364,0,0
S38099,barley,2.17544066438926,2.17544066438926,20032.7272727273,0,0
S38101,barley,2.18336615087938,2.18336615087938,61905.4545454545,0,0
S38103,barley,2.24599868757731,2.24599868757731,33930.9090909091,0,0
S38105,barley,1.70349631165652,1.70349631165652,42203.6363636364,0,0
S41001,barley,2.81194674809014,2.81194674809014,712.727272727273,0,0
S41021,barley,0.83370596895953,0.36665696895953,7059.39393939394,2236.47436851359,3297.08288
S41035,barley,3.07701471278934,3.07701471278934,7840,0,0
S41045,barley,2.78242255035931,2.78242255035931,1221.81818181818,0,0
S41049,barley,1.53578593900168,0.69953193900168,3538.18181818182,2064.87815667812,2958.81869818182
S41055,barley,1.5698390238936,1.0819230238936,8094.54545454545,3949.45824,3949.45824
S41059,barley,1.59840311401703,0.71908311401703,4310.30303030303,2618.04867867749,3790.13566060606
S41061,barley,2.05628267669523,2.05628267669523,2850.90909090909,0,0
S41063,barley,1.87932067424995,0.73471067424995,3130.90909090909,2235.91322982217,3583.66985454545
S41065,barley,1.79213872412229,1.79213872412229,1985.45454545455,0,0
S42001,barley,2.71228248714759,2.71228248714759,1476.36363636364,0,0
S42005,barley,1.59745836272112,1.59745836272112,576.969696969697,0,0
S42009,barley,2.24573479181854,2.24573479181854,814.545454545454,0,0
S42011,barley,2.71007224503628,2.71007224503628,4378.18181818182,0,0
S42013,barley,2.62126071717862,2.62126071717862,687.272727272727,0,0
S42019,barley,1.92733962786868,1.92733962786868,534.545454545454,0,0
S42021,barley,1.97920659094302,1.97920659094302,441.212121212121,0,0
S42029,barley,2.99173801294845,2.99173801294845,1663.0303030303,0,0
S42041,barley,2.81824524360605,2.81824524360605,2290.90909090909,0,0
S42043,barley,2.71463499236932,2.71463499236932,1018.18181818182,0,0
S42055,barley,2.82253335345644,2.82253335345644,5523.63636363636,0,0
S42057,barley,2.52808205887764,2.52808205887764,1170.90909090909,0,0
S42061,barley,2.74979054234102,2.74979054234102,305.454545454545,0,0
S42063,barley,1.81520983269727,1.81520983269727,661.818181818182,0,0
S42067,barley,2.77166952676471,2.77166952676471,712.727272727273,0,0
S42071,barley,2.86234732362149,2.86234732362149,7025.45454545454,0,0
S42075,barley,2.96702582715834,2.96702582715834,2418.18181818182,0,0
S42077,barley,2.7495729956209,2.7495729956209,543.030303030303,0,0
S42087,barley,2.9064241808288,2.9064241808288,407.272727272727,0,0
S42095,barley,2.57575316624349,2.57575316624349,407.272727272727,0,0
S42097,barley,2.42345404353776,2.42345404353776,1349.09090909091,0,0
S42099,barley,2.57891748217253,2.57891748217253,1400,0,0
S42107,barley,2.65939988013036,2.65939988013036,814.545454545454,0,0
S42109,barley,1.75081600354118,1.75081600354118,509.090909090909,0,0
S42111,barley,2.23904885595346,2.23904885595346,763.636363636364,0,0
S42119,barley,3.09786529453609,3.09786529453609,509.090909090909,0,0
S42133,barley,2.84437382525185,2.84437382525185,5141.81818181818,0,0
S46019,barley,2.08939780794911,2.08939780794911,560,0,0
S46021,barley,1.62898984027291,1.62898984027291,2240,0,0
S46031,barley,1.07770573274872,1.07770573274872,1425.45454545455,0,0
S46037,barley,2.31809295333812,2.31809295333812,1391.51515151515,0,0
S46051,barley,2.08844851317039,2.08844851317039,203.636363636364,0,0
S46063,barley,1.24562861090577,1.24562861090577,3699.39393939394,0,0
S46089,barley,1.09515308874848,1.09515308874848,3224.24242424242,0,0
S46091,barley,1.67075881053632,1.67075881053632,509.090909090909,0,0
S46105,barley,1.24088649157541,1.24088649157541,4683.63636363636,0,0
S46109,barley,1.98823962398582,1.98823962398582,1289.69696969697,0,0
S46115,barley,1.39229900878026,1.39229900878026,509.090909090909,0,0
S49001,barley,3.48074752195066,3.48074752195066,101.818181818182,0,0
S49003,barley,2.84600632750063,2.82840892750063,3130.90909090909,55.0958596363636,55.0958596363636
S49005,barley,2.4951076778828,2.4951076778828,10843.6363636364,0,0
S49013,barley,2.91636917374866,2.91636917374866,475.151515151515,0,0
S49015,barley,2.19287093882892,2.19287093882892,407.272727272727,0,0
S49021,barley,3.7461545204994,3.7461545204994,271.515151515152,0,0
S49023,barley,2.40867728518986,2.40867728518986,1018.18181818182,0,0
S49027,barley,3.19108531437683,3.19108531437683,2952.72727272727,0,0
S49029,barley,2.97136983581154,2.97136983581154,1043.63636363636,0,0
S49039,barley,3.3389861683294,3.3389861683294,1400,0,0
S49041,barley,3.5416606035848,3.5416606035848,814.545454545454,0,0
S49045,barley,3.37632509629214,3.37632509629214,305.454545454545,0,0
S49047,barley,3.46242779815092,3.46242779815092,644.848484848485,0,0
S49049,barley,3.36489577607081,3.36489577607081,2273.93939393939,0,0
S49055,barley,3.16554649635179,3.16554649635179,458.181818181818,0,0
S49057,barley,2.72447601490865,2.72447601490865,560,0,0
S51001,barley,2.85421296799954,2.85421296799954,814.545454545454,0,0
S51007,barley,2.78459801756053,2.78459801756053,967.272727272727,0,0
S51015,barley,2.89721043738834,2.89721043738834,2163.63636363636,0,0
S51019,barley,2.08844851317039,2.08844851317039,203.636363636364,0,0
S51031,barley,1.74037376097533,1.74037376097533,509.090909090909,0,0
S51033,barley,2.80479494762617,2.80479494762617,2061.81818181818,0,0
S51036,barley,2.66277185429225,2.66277185429225,814.545454545454,0,0
S51047,barley,2.86492296037477,2.86492296037477,882.424242424242,0,0
S51057,barley,2.69852007208526,2.69852007208526,3767.27272727273,0,0
S51061,barley,1.92736275575919,1.92736275575919,1094.54545454545,0,0
S51067,barley,2.19287093882892,2.19287093882892,712.727272727273,0,0
S51073,barley,2.0884485131704,2.0884485131704,610.909090909091,0,0
S51075,barley,2.61056064146299,2.61056064146299,610.909090909091,0,0
S51085,barley,3.00175510176581,3.00175510176581,1705.45454545455,0,0
S51087,barley,2.0884485131704,2.0884485131704,1120,0,0
S51097,barley,2.61520163815893,2.61520163815893,1018.18181818182,0,0
S51099,barley,2.50613821580447,2.50613821580447,509.090909090909,0,0
S51101,barley,2.88321919734913,2.88321919734913,1680,0,0
S51103,barley,2.9720228841271,2.9720228841271,882.424242424242,0,0
S51109,barley,2.33210083970694,2.33210083970694,509.090909090909,0,0
S51113,barley,3.09568982733487,3.09568982733487,814.545454545454,0,0
S51131,barley,2.79620050930036,2.79620050930036,1374.54545454545,0,0
S51133,barley,3.08102296781697,3.08102296781697,1578.18181818182,0,0
S51137,barley,2.5940093318178,2.5940093318178,1247.27272727273,0,0
S51139,barley,2.57984816332814,2.57984816332814,865.454545454545,0,0
S51143,barley,2.17546720121916,2.17546720121916,509.090909090909,0,0
S51159,barley,2.59438251917787,2.59438251917787,1807.27272727273,0,0
S51165,barley,2.55710630451875,2.55710630451875,1900.60606060606,0,0
S51171,barley,2.34181455372169,2.34181455372169,1094.54545454545,0,0
S51177,barley,3.09786529453609,3.09786529453609,610.909090909091,0,0
S51193,barley,2.9457654028206,2.9457654028206,3029.09090909091,0,0
S53001,barley,2.17903835776766,1.66420235776766,1960,1009.07856,1009.07856
S53003,barley,1.41874364904443,0.65983464904443,2613.33333333333,1408.90702641106,1983.28218666667
S53013,barley,2.61556652217478,1.46783652217478,7203.63636363636,7159.80424204628,8267.82956363636
S53017,barley,1.43944731612305,0.92702931612305,2240,1147.81632,1147.81632
S53023,barley,1.68173840352606,0.79424140352606,11047.2727272727,7059.87666387865,9804.42140363636
S53029,barley,3.08394230444828,3.08394230444828,712.727272727273,0,0
S53039,barley,1.26887750289776,1.26887750289776,1629.09090909091,0,0
S53043,barley,1.79285348157521,1.09224048157521,35967.2727272727,24503.9390501053,25199.1388472727
S53047,barley,1.28857273262613,1.28857273262613,1018.18181818182,0,0
S53057,barley,3.17300849103937,3.17300849103937,865.454545454545,0,0
S53063,barley,1.9845547057103,1.9845547057103,21789.0909090909,0,0
S53065,barley,1.69563970948952,1.69563970948952,3665.45454545454,0,0
