"FIPS","CODE","CMZ","total_acres","residue","avg_res_acre","cgy","cgr","sgr","sgr","sby","sbr","wheaty","wheatr","barleyy","barleyr","oaty","oatr","ryey","ryer","coty","cotr","suny","sunr","flay","flar","safy","safr","cany","canr","poty","potr"
"AL065","AL065",69,0,0,0,73.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL067","AL067",69,15690.6,1920.81,0.12,72.3,1957780,0,0,26.8,0,41.3,1883840,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL069","AL069",69,13031.7,2056.29,0.16,86.5,2394490,0,0,28.4,0,39.3,1718080,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL071","AL071",66,40671.5,15933.9,0.39,95.6,8726360,0,0,28.5,0,39.3,23141300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL073","AL073",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL077","AL077",63,25986.1,2392.54,0.09,120.2,4464810,0,0,33.9,0,50.9,320265,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL079","AL079",63,29445.9,2752.78,0.09,105.9,5505560,0,0,41.5,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL081","AL081",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL083","AL083",63,69509.6,16172.1,0.23,135,16642800,0,0,37.2,0,76,15701300,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL087","AL087",69,13865.6,2671.44,0.19,122.5,5342880,0,0,42.5,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL089","AL089",63,55238.4,17380.4,0.31,138.4,22959100,0,0,37.4,0,75.5,11801700,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"AL091","AL091",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL093","AL093",63,6141.81,60.5,0.01,100.5,120995,0,0,18.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL095","AL095",66,7507.12,232.02,0.03,81.9,464041,0,0,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL097","AL097",69,19254.7,0,0,0,0,0,0,45.8,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AL099","AL099",69,5692.11,442.64,0.08,84.2,885279,0,0,41.9,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0
"AL101","AL101",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL103","AL103",63,11946.4,640.42,0.05,95.3,1280830,0,0,33.2,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"AL105","AL105",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL107","AL107",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL109","AL109",69,12767.2,738.67,0.06,81.8,1477340,0,0,53.1,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0
"AL111","AL111",66,632.46,47.83,0.08,63,95665.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL113","AL113",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL115","AL115",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL117","AL117",66,737.87,76.39,0.1,130.5,152772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL119","AL119",69,3136.24,576.98,0.18,61.8,1153960,0,0,25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL121","AL121",66,12195.6,1388.04,0.11,102,2776070,0,0,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL123","AL123",69,0,0,0,90.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL125","AL125",69,12153,647.95,0.05,90.9,1295890,0,0,42.3,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0
"AL127","AL127",66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AL131","AL131",69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ001","AZ001",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ007","AZ007",33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AZ017","AZ017",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR001","AR001",42,75431.7,73753.3,0.98,183.2,0,88.8,0,50,0,61,147507000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR003","AR003",42,29418.8,7896.85,0.27,167,0,94.7,0,36,0,60.1,15793700,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR005","AR005",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR007","AR007",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR009","AR009",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR011","AR011",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR013","AR013",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR015","AR015",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR017","AR017",42,72749.3,18531.2,0.25,175.4,0,83.8,0,38.5,0,61,37062400,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR019","AR019",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR021","AR021",17,64587.7,110002,1.7,195.1,174773000,0,0,42.8,6749540,50.2,38481100,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR023","AR023",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR025","AR025",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR027","AR027",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR029","AR029",42,12191.9,1986.31,0.16,164.7,0,95.5,0,33.5,0,43.3,3972620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR031","AR031",17,51094.3,81248.3,1.59,197.6,106094000,0,0,43.7,8503180,53.5,47899900,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR033","AR033",42,9446.1,829.01,0.09,142,0,0,0,31.3,0,45,1658010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR035","AR035",42,75539,51000.6,0.68,0,0,93.3,0,38.7,0,56,102001000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR037","AR037",42,41976.7,30265.5,0.72,152.7,0,89.6,0,41.9,0,52.9,60531100,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
"AR039","AR039",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR041","AR041",42,72647,31516.3,0.43,204.3,0,95.7,0,46,0,64.3,63032600,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0
"AR043","AR043",42,25767.3,6113.47,0.24,195.1,0,0,0,40.8,0,58.3,12226900,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR045","AR045",42,7587.34,1150.89,0.15,150.2,0,0,0,33,0,37.1,2301790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR047","AR047",42,948.69,0,0,108.8,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR049","AR049",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR051","AR051",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR053","AR053",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR055","AR055",17,40196.6,49146,1.22,182.5,65807400,0,0,38.5,5131540,46.9,27353100,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR057","AR057",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR059","AR059",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR061","AR061",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR063","AR063",42,20829,2711.2,0.13,163.1,0,70,0,34.8,0,39.3,5422400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR065","AR065",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR067","AR067",42,53529.6,30472.2,0.57,174.1,0,83.8,0,33.5,0,46.4,60944300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR069","AR069",42,97588.2,38891.5,0.4,192.7,0,0,0,41,0,59.2,77782900,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"AR071","AR071",42,2266.3,0,0,150.5,0,0,0,28.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR075","AR075",17,27289.6,16235.2,0.59,0,0,0,0,36.7,5595300,47.9,26875200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR077","AR077",42,64715.8,32086.8,0.5,186.1,0,91.5,0,40.7,0,62.3,64173600,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR083","AR083",42,7720.1,796.74,0.1,152.7,0,0,0,32.9,0,60,1593490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR087","AR087",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR093","AR093",17,67244,111542,1.66,193.5,124989000,0,0,45.3,11609200,59.9,86486100,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR095","AR095",42,68563.5,30388.6,0.44,176,0,80.9,0,40.6,0,55.2,60777300,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"AR097","AR097",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR099","AR099",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR101","AR101",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR103","AR103",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR105","AR105",42,592.68,171.82,0.29,0,0,0,0,37.3,0,51.3,343645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR107","AR107",42,93118.5,29933.1,0.32,185.3,0,102.8,0,42.2,0,57.8,59866100,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR109","AR109",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR111","AR111",42,45707.2,24617.2,0.54,199,0,94.4,0,43.5,0,52.9,49234300,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR113","AR113",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR115","AR115",42,6118.73,856.31,0.14,167.5,0,0,0,31.2,0,38.7,1712620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR119","AR119",42,7801.86,3239.45,0.42,0,0,81.6,0,33.8,0,47.7,6478890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR121","AR121",17,14453.1,12031.1,0.83,183.9,20029300,0,0,43,623953,42.6,3408960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR123","AR123",42,44199.4,32865,0.74,190.3,0,79.9,0,41,0,53.9,65730100,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR125","AR125",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR127","AR127",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR129","AR129",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR131","AR131",42,790.58,0,0,137.4,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR133","AR133",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR135","AR135",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR137","AR137",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR139","AR139",42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR143","AR143",17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR145","AR145",42,14679.7,3906.89,0.27,154.6,0,0,0,31.5,0,45.6,7813770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AR147","AR147",42,57087.7,24363.2,0.43,167.2,0,80,0,35,0,49.9,48726500,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0
"AR149","AR149",42,3095.99,263.41,0.09,152.5,0,0,0,29.6,0,38.2,526823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA001","CA001",39,296.34,747.58,2.52,0,0,0,0,0,0,87.3,1495170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA003","CA003",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA005","CA005",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA007","CA007",36,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA009","CA009",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA011","CA011",36,0,0,0,215.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA013","CA013",39,954.87,0,0,165.9,0,0,0,0,0,66.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA015","CA015",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA017","CA017",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA019","CA019",39,18570.6,41813.9,2.25,202.3,83627800,0,0,0,0,82.5,0,75.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA021","CA021",36,984.24,0,0,230.8,0,0,0,0,0,0,0,75.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA023","CA023",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA029","CA029",39,34836.4,0,0,201.4,0,0,0,0,0,93,0,84.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA031","CA031",39,46599.4,125164,2.69,215.1,250328000,0,0,0,0,80.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA033","CA033",36,203.64,268.96,1.32,0,0,0,0,0,0,0,0,39.6,537913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA035","CA035",36,712.73,1275.87,1.79,0,0,0,0,0,0,0,2551750,169.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA037","CA037",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA039","CA039",36,1374.55,29.21,0.02,185.9,58411.2,0,0,0,0,0,0,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA041","CA041",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA043","CA043",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA045","CA045",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA047","CA047",39,10701.2,10958.2,1.02,197.9,21916400,0,0,0,0,84.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA049","CA049",36,2545.45,7376.37,2.9,0,0,0,0,0,0,0,14752700,113.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA053","CA053",39,197.56,495.24,2.51,0,0,0,0,0,0,87.3,990486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA055","CA055",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA057","CA057",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA059","CA059",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA061","CA061",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA063","CA063",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA065","CA065",39,5630.45,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA067","CA067",34,18947.4,0,0,196.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA069","CA069",39,691.46,1163.92,1.68,0,0,0,0,0,0,53.1,2327850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA071","CA071",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA073","CA073",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA075","CA075",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA077","CA077",39,12545.1,7259.57,0.58,201.8,14519100,0,0,0,0,81.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA079","CA079",39,987.8,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA081","CA081",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA083","CA083",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA085","CA085",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA087","CA087",39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA089","CA089",36,203.64,110.46,0.54,0,0,0,0,0,0,0,0,45.3,220927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA091","CA091",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA093","CA093",36,4021.82,1295.51,0.32,0,0,0,0,0,0,0,0,88.3,2591010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA095","CA095",34,5823.88,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA097","CA097",45,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CA099","CA099",39,2469.5,665.47,0.27,200.4,1330940,0,0,0,0,85.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
